0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
932.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
103.0,,,,,,,,,,,,,,,,
439.0,610.0,866.0,917.0,1092.0,1254.0,1673.0,,,,,,,,,,
11.0,168.0,184.0,319.0,781.0,804.0,930.0,993.0,1196.0,1560.0,1831.0,1923.0,,,,,
,,,,,,,,,,,,,,,,
697.0,1331.0,,,,,,,,,,,,,,,
121.0,1830.0,,,,,,,,,,,,,,,
66.0,236.0,1086.0,1264.0,1803.0,,,,,,,,,,,,
697.0,1465.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
971.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1180.0,1455.0,1516.0,1730.0,1965.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1366.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
604.0,704.0,827.0,1135.0,1187.0,1695.0,,,,,,,,,,,
11.0,51.0,1530.0,,,,,,,,,,,,,,
136.0,597.0,747.0,1331.0,1776.0,1875.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
218.0,1775.0,1794.0,1967.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
531.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
341.0,1993.0,,,,,,,,,,,,,,,
883.0,,,,,,,,,,,,,,,,
103.0,1925.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1461.0,,,,,,,,,,,,,,,,
19.0,53.0,955.0,,,,,,,,,,,,,,
914.0,1300.0,,,,,,,,,,,,,,,
608.0,884.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1406.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
423.0,1687.0,1852.0,,,,,,,,,,,,,,
1868.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
51.0,697.0,1599.0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
740.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
738.0,942.0,1123.0,1324.0,1354.0,1584.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1067.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
167.0,291.0,473.0,635.0,892.0,959.0,1614.0,1956.0,,,,,,,,,
955.0,1185.0,1794.0,,,,,,,,,,,,,,
814.0,891.0,1126.0,,,,,,,,,,,,,,
185.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
798.0,,,,,,,,,,,,,,,,
1310.0,1686.0,1835.0,,,,,,,,,,,,,,
1012.0,1779.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
153.0,426.0,584.0,725.0,742.0,819.0,1018.0,1537.0,1604.0,,,,,,,,
,,,,,,,,,,,,,,,,
149.0,236.0,644.0,810.0,1157.0,,,,,,,,,,,,
717.0,805.0,1300.0,1310.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
477.0,932.0,1018.0,1591.0,,,,,,,,,,,,,
869.0,,,,,,,,,,,,,,,,
338.0,1252.0,1854.0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
175.0,234.0,423.0,892.0,1263.0,1356.0,1403.0,1629.0,1677.0,1813.0,1943.0,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
697.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
341.0,1175.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
99.0,119.0,437.0,1603.0,1721.0,1836.0,1970.0,,,,,,,,,,
1779.0,1975.0,,,,,,,,,,,,,,,
1314.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
94.0,191.0,764.0,864.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
613.0,866.0,1115.0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
218.0,1103.0,1147.0,,,,,,,,,,,,,,
204.0,558.0,1009.0,1864.0,1875.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
22.0,1413.0,,,,,,,,,,,,,,,
1525.0,1779.0,,,,,,,,,,,,,,,
356.0,391.0,440.0,491.0,568.0,796.0,931.0,1536.0,,,,,,,,,
,,,,,,,,,,,,,,,,
290.0,478.0,,,,,,,,,,,,,,,
27.0,292.0,751.0,909.0,1182.0,1283.0,,,,,,,,,,,
183.0,577.0,1088.0,1546.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
304.0,309.0,783.0,979.0,1237.0,1403.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
696.0,,,,,,,,,,,,,,,,
611.0,695.0,817.0,1413.0,,,,,,,,,,,,,
690.0,,,,,,,,,,,,,,,,
1251.0,1599.0,1868.0,,,,,,,,,,,,,,
608.0,644.0,738.0,852.0,1464.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
601.0,1366.0,1781.0,,,,,,,,,,,,,,
1322.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
146.0,912.0,1525.0,1689.0,1925.0,1988.0,,,,,,,,,,,
1300.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
922.0,1403.0,,,,,,,,,,,,,,,
290.0,856.0,1076.0,1413.0,1599.0,1868.0,,,,,,,,,,,
139.0,805.0,1238.0,1474.0,1598.0,1733.0,,,,,,,,,,,
1872.0,,,,,,,,,,,,,,,,
115.0,668.0,1089.0,1310.0,1478.0,1960.0,,,,,,,,,,,
189.0,624.0,815.0,1037.0,1242.0,1285.0,1478.0,1513.0,1575.0,1690.0,1968.0,1970.0,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
458.0,,,,,,,,,,,,,,,,
915.0,1053.0,1907.0,,,,,,,,,,,,,,
213.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1067.0,,,,,,,,,,,,,,,,
1326.0,,,,,,,,,,,,,,,,
415.0,942.0,1794.0,1968.0,,,,,,,,,,,,,
304.0,490.0,669.0,1110.0,1599.0,,,,,,,,,,,,
162.0,329.0,874.0,1332.0,1871.0,1895.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2.0,234.0,302.0,568.0,601.0,1641.0,,,,,,,,,,,
1344.0,,,,,,,,,,,,,,,,
697.0,706.0,942.0,955.0,1120.0,,,,,,,,,,,,
341.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
249.0,931.0,1249.0,1875.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
328.0,457.0,,,,,,,,,,,,,,,
1002.0,,,,,,,,,,,,,,,,
1362.0,1994.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
547.0,650.0,1710.0,1975.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1830.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1106.0,1315.0,1552.0,,,,,,,,,,,,,,
1617.0,,,,,,,,,,,,,,,,
302.0,1915.0,,,,,,,,,,,,,,,
1755.0,,,,,,,,,,,,,,,,
376.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
103.0,1024.0,,,,,,,,,,,,,,,
272.0,920.0,1224.0,1314.0,1460.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
766.0,1697.0,1815.0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
536.0,1853.0,,,,,,,,,,,,,,,
377.0,716.0,1663.0,1805.0,,,,,,,,,,,,,
440.0,981.0,1271.0,1282.0,1296.0,1879.0,,,,,,,,,,,
297.0,1354.0,1455.0,,,,,,,,,,,,,,
21.0,442.0,1180.0,1557.0,,,,,,,,,,,,,
910.0,1018.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
284.0,988.0,1690.0,,,,,,,,,,,,,,
1413.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
192.0,318.0,648.0,1093.0,1247.0,1256.0,1363.0,1814.0,1823.0,1879.0,,,,,,,
1739.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
41.0,1273.0,,,,,,,,,,,,,,,
431.0,,,,,,,,,,,,,,,,
62.0,164.0,558.0,593.0,688.0,808.0,1115.0,1495.0,1762.0,,,,,,,,
,,,,,,,,,,,,,,,,
558.0,741.0,1606.0,1903.0,1975.0,,,,,,,,,,,,
1561.0,,,,,,,,,,,,,,,,
272.0,494.0,753.0,864.0,1320.0,1460.0,1638.0,1805.0,1875.0,1965.0,,,,,,,
1024.0,,,,,,,,,,,,,,,,
1801.0,,,,,,,,,,,,,,,,
192.0,404.0,719.0,866.0,1287.0,1534.0,1813.0,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
477.0,805.0,1362.0,,,,,,,,,,,,,,
1062.0,1975.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
229.0,466.0,998.0,1703.0,,,,,,,,,,,,,
191.0,741.0,1146.0,1591.0,,,,,,,,,,,,,
12.0,404.0,616.0,684.0,936.0,1469.0,1671.0,1994.0,,,,,,,,,
792.0,,,,,,,,,,,,,,,,
304.0,,,,,,,,,,,,,,,,
139.0,418.0,931.0,932.0,1057.0,1431.0,1891.0,1973.0,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
319.0,473.0,490.0,1370.0,,,,,,,,,,,,,
789.0,1662.0,1989.0,,,,,,,,,,,,,,
28.0,249.0,713.0,734.0,1011.0,1483.0,1505.0,1743.0,1835.0,,,,,,,,
279.0,319.0,766.0,1210.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
729.0,,,,,,,,,,,,,,,,
175.0,318.0,330.0,686.0,1175.0,1695.0,1994.0,,,,,,,,,,
19.0,792.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
55.0,823.0,1210.0,1743.0,1774.0,,,,,,,,,,,,
792.0,1662.0,,,,,,,,,,,,,,,
1083.0,1113.0,1322.0,1470.0,1656.0,1850.0,,,,,,,,,,,
725.0,1210.0,1305.0,1617.0,1837.0,1871.0,,,,,,,,,,,
176.0,1059.0,,,,,,,,,,,,,,,
435.0,1127.0,1277.0,1357.0,1801.0,1854.0,,,,,,,,,,,
374.0,592.0,979.0,1254.0,1397.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
164.0,278.0,979.0,,,,,,,,,,,,,,
34.0,68.0,113.0,445.0,527.0,556.0,794.0,977.0,1312.0,,,,,,,,
1403.0,1749.0,,,,,,,,,,,,,,,
729.0,1366.0,1975.0,,,,,,,,,,,,,,
311.0,735.0,914.0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
174.0,422.0,1617.0,1673.0,1911.0,,,,,,,,,,,,
328.0,,,,,,,,,,,,,,,,
423.0,1125.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1018.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
54.0,1821.0,,,,,,,,,,,,,,,
594.0,823.0,904.0,1052.0,1683.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1180.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1814.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
282.0,1127.0,1591.0,,,,,,,,,,,,,,
103.0,1326.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
